"Formula","S1","S2","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S17","S18","S19"
"C22H40","9568942","12819249","2075808","1438498","23225604","12521950","4749525","10990980","6914406","7520722","1779103","10689693","10294197","5795677","2273733","5597061"
"C23H42","10817678","10752474","2644135","1428827","15758647","12846815","3404796","8427723","4875663","7391564","2078925","9395073","8420557","6009998","2073548","4288820"
"C24H44","8791847","11518108","1332438","1542263","22227458","9908668","3222087","11217733","4580120","8180965","2326027","9207795","8177300","6165191","2025427","4646868"
"C25H46","9684823","10266482","1769340","1268597","17349896","15087801","3142298","10941605","5727111","5677208","1947931","9234392","8233125","5587494","1394067","4238056"
"C26H48","9781511","10966729","1487490","1121191","16537652","10152476","2894776","9956534","5407852","5494883","1485879","7760868","8307359","5771566","1267139","3846643"
"C27H50","7590702","9174961","1796564","4254523","20796780","13603095","3141381","8497999","5365143","6676543","1306700","10432192","9297052","3856022","1721382","3861626"
"C28H52","8512699","9333576","1383890","2413978","17452634","10698396","2809598","8050762","3977730","6288409","1108845","7568158","7556970","3950860","1216974","4822634"
"C29H54","8664225","8575655","1446225","6078315","19667540","9554890","2282520","10638334","4016353","6697950","1284943","9698196","7750627","4318626","1226258","3567777"
"C30H56","8334091","8050176","1455812","7520558","20199280","13840834","1922250","8190004","3928424","5785464","3745001","8513557","7463648","3081756","4348647","3235872"
"C31H58","6437339","7457708","3416132","8023904","16311226","10436995","1397783","10024687","3481802","4899518","4697443","8191486","6915246","2721753","4233140","2979304"
"C32H60","6533908","6164939","4575884","12706709","16608582","13527770","2020490","8364578","3101753","5537139","6021795","7877257","5348479","2703415","6553949","3193557"
"C33H62","6596788","5310078","4606444","15254497","17650526","13149423","1362420","7049583","1870951","6490969","6014832","8608515","4726114","2821371","6096060","3514905"
"C34H64","5191505","5715967","4999717","13648504","16062495","9668324","1209125","8428017","2748937","5800038","8893816","9803593","4161128","2225425","8817040","3048903"
"C35H66","4348066","6147293","6485497","20821348","14175748","11020256","1596650","8730784","2567816","4687388","13058696","6853332","5080654","2178973","11960987","2200045"
"C36H68","4177411","4719539","11054500","25280858","15107980","10940321","1241396","7426804","2363744","3987116","13004187","7258468","4684511","1771971","13263479","2183835"
"C37H70","4371669","5317405","11258102","31374604","14563054","9674559","1151854","6304284","2258546","3765318","12827794","6747827","4362681","1982281","12629416","2471608"
"C38H72","4381425","3709583","13393751","26120962","11647737","7462919","4806287","6998255","1606556","3864530","13254784","6325308","4173945","1836739","13169722","2429318"
"C39H74","3696554","3449147","13642846","26831754","11855932","10136387","3514987","7023169","1506086","3225305","22135416","5305064","3156424","1466249","23538234","1745590"
"C40H76","3068565","3222359","22558888","14345599","10476346","8585746","7526569","5761019","1210650","2355292","23313746","5003028","3480801","1682678","24317768","1606644"
"C41H78","2837318","2543900","24848456","20441012","9005175","7351164","7732067","4997520","1577982","2432867","35531280","3764508","2058308","1452819","34733988","1361119"
"C42H80","2558972","2001433","37511688","14577917","9842167","6626600","9121204","4432397","1230820","2397639","30625988","4469224","2728560","6682545","31816146","1702912"
"C43H82","1939929","2283901","37625008","16484520","8900084","6753461","15549996","4205681","1254786","2605629","21158268","4459516","1729853","8914175","23106648","1214565"
"C44H84","2107087","2513071","27952978","13508443","8964967","4962242","17169118","3838539","1215967","2880901","16208956","4776489","1810995","12653382","15795662","1326237"
"C45H86","2293453","1760533","19368332","12256762","7907654","5457136","15300289","4113320","4592649","2056947","15943744","3572540","2325271","11982716","17688046","1056785"
"C46H88","1455354","3057726","21822212","13686118","6976105","5684647","23592012","3667077","6302577","1984480","14289979","2509568","1405355","19433154","13606201","5390620"
"C47H90","1102734","1790853","15776614","10376817","6311833","5555153","25650864","3313090","9607086","1437515","13410008","2781571","1547227","24999672","13245498","5895778"
"C48H92","1414039","1190182","16267940","12114143","4806649","5416276","36976936","2671169","10514499","1256707","13438677","2196485","1287748","30648138","11993972","10290360"
"C49H94","1596840","1155136","13996251","11506589","4518560","4268047","29879980","2359137","15810819","1303207","11066425","2037700","1424847","24454928","9761558","12988613"
"C50H96","1095993","1187497","11103789","9067922","3463843","3732796","30513040","1490562","17870786","1500680","13023322","1676578","5344865","24809994","12350196","14235838"
"C51H98","6024052","1243058","12643026","8349094","3755816","3514770","19210852","1914681","25103512","5577803","10349729","1256892","6409148","37557248","8876770","22049004"
"C52H100","7317783","5975412","9604978","9960280","3843970","3443141","24405422","1276092","20941976","7484240","10738287","1248473","9207897","39385180","10005169","23385242"
"C53H102","9269048","8030631","10347728","7710784","4121361","2780807","17907706","1914778","20609846","10614595","9937439","1388988","11062953","51285940","8188478","19846836"
"C54H104","10820357","10351211","9376685","6442597","3111219","2790369","20355152","1788520","38331364","12083914","9730705","1119724","17163514","48732460","7412089","30701074"
"C55H106","14715197","11124451","7810088","6367185","2514252","1886087","16291627","1696495","46196188","17902370","8301188","1186719","19941142","41284576","7553104","37131872"
"C56H108","20301600","15360751","7013714","7241328","2116880","2369706","13643078","7497573","59132488","25320034","9050301","1447937","29227808","30727934","8019636","47583052"
"C57H110","23349962","20028340","7147046","3943860","1437314","1650302","17560412","11363238","49664332","27318116","6984950","5047893","22971014","36841944","6378750","38716480"
"C58H112","19525072","24103984","5231040","5242539","2135465","1684558","13271582","11995045","37698320","25176474","6138099","6869958","24336696","32457714","6167644","35347824"
